tag	molecule	#lines	lg(Q(300))	lg(Q(225))	lg(Q(150))	lg(Q(75))	lg(Q(37.500))	lg(Q(18.750))	lg(Q(9.375))
1001	H-atom	1	0.6020599913279624	0.6020599913279624	0.6020599913279624	0.6020599913279624	0.6020599913279624	0.6020599913279624	0.6020599913279624
2001	D-atom	1	0.7781512503836436	0.7781512503836436	0.7781512503836436	0.7781512503836436	0.7781512503836436	0.7781512503836436	0.7781512503836436
3001	HD	2	0.70035752782266	0.5863622233078657	0.4315245841874509	0.1961761850399733	0.04060234011407314	0.001300933020418072	0.0
4001	H2D+	32	1.8833939636542971	1.698635468772226	1.4400695793173364	0.9882110252489047	0.49187973621980824	0.08461202086525142	0.0016039241497978187
7001	Li-6-H	51	1.449277790579156	1.3248378323128431	1.1514924284254977	0.8602780997522349	0.5802405082653763	0.32242605240595257	0.11360915107302787
8001	LiH	53	1.449277790579156	1.3248378323128431	1.1514924284254977	0.8602780997522349	0.5802405082653763	0.32242605240595257	0.11360915107302787
8002	Li-6-D	80	1.449277790579156	1.3248378323128431	1.1514924284254977	0.8602780997522349	0.5802405082653763	0.32242605240595257	0.11360915107302787
9001	LiD	90	1.7059662894166805	1.5788110603225813	1.4033607757655246	1.1074474095236093	0.8177636322803677	0.5402042998420598	0.2873537727147465
12001	C-atom	2	0.8938726787950814	0.8744238305865019	0.8363241157067517	0.7294887691795613	0.5493711523331772	0.3074960379132129	0.09621458534640519
13001	C-13-atom	7	1.1950135628758283	1.17539583139403	1.13738576433397	1.0305187648435425	0.8504011479971585	0.608526033577194	0.3972445810103864
13002	CH	508	2.0822175450771496	1.9607751051300941	1.7923734767671302	1.517487529739623	1.2752445348660275	1.0863562708693235	0.9523031625984484
13003	CH+	9	1.1861168675703004	1.0640984242979457	0.894183095040831	0.6124553635191139	0.35119699994269726	0.1342089929320836	0.017784353096678397
14001	N-atom	2	1.079217435746567	1.079217435746567	1.079217435746567	1.079217435746567	1.079217435746567	1.079217435746567	1.079217435746567
14002	N-atom-D-st	6	1.469998642218747	1.467593308245282	1.4629068724922676	1.4494938267812603	1.424603991276581	1.382701282954905	1.3246939138617746
14003	13CH	628	2.385608418257125	2.264091661238316	2.0955434857970685	1.8202467919445036	1.5773412642875495	1.3878114568185802	1.2535318435270049
14004	CD	188	2.503190833691603	2.3750740363418794	2.193432392910039	1.8805300654579928	1.5717542382413532	1.2928030264700079	1.0729260026020873
15001	NH	91	2.373550094086724	2.252122122199561	2.083370017940084	1.8051268913028582	1.5511327007286073	1.3511389585818487	1.2637070646074315
16001	O-atom	2	0.8287243271387913	0.8009918612601714	0.7611758131557314	0.7123129086813654	0.6995775913989091	0.6989700043360189	0.6989700043360189
17001	OH	3153	1.9111290989026413	1.7802925357614858	1.6036272431540053	1.3570499282101385	1.231309504042859	1.2042206730155787	1.2021991452483185
17002	NH3	1716	2.7699542294148207	2.5801563584117	2.3179006528617823	1.8758613649492026	1.4476571830391614	1.0644280368504866	0.7586469979207747
17003	CH3D	203	2.9117918547818213	2.720497259791335	2.456767949119737	2.0095639166412247	1.567388715498864	1.1478771969347956	0.7751879612661703
17004	NH3-v2	4198	2.7699542294148207	2.5801563584117	2.3179006528617823	1.8758613649492026	1.4476571830391614	1.0644280368504866	0.7586469979207747
18001	OD	9351	2.3272358838837155	2.1857933667289497	1.9888877636283424	1.68989365261472	1.4899421755071862	1.3983293094270295	1.38036575067666
18002	N-15-H3	235	2.7602995667240213	2.654399890910188	2.3142991917238445	1.8734019880678843	1.4419934633574376	1.0521935804334748	0.7335984609613392
18003	H2O	1376	2.25071756285761	2.064536604388002	1.803989414613344	1.3649260337899756	0.9334872878487055	0.4818724103106635	0.09933527768595772
18004	NH2D	5036	3.578700052769261	3.381799841029004	3.1116999491797457	2.6377998291200475	2.1366983763604814	1.6068004075556694	1.1218879851036812
18005	H2O	8608	2.25071756285761	2.064536604388002	1.803989414613344	1.3649260337899756	0.9334872878487055	0.4818724103106635	0.09933527768595772
18006	13CH3D	143	2.9073291702919826	2.720304540282024	2.4572822473516434	2.0097830762476665	1.5678788176138525	1.1483280494785775	0.7755813241811148
18007	17OH	46769	2.6905242471860515	2.559603949134496	2.3827791819714066	2.135792023654752	2.009498062207503	1.9819364711063696	1.9794361447012305
19001	HO-18	3159	1.9135328471107456	1.7825567516152196	1.6056273605250249	1.3583864307835785	1.231820656125744	1.2042776572136114	1.202229952163012
19002	HDO	1401	2.1669005666611154	1.9802988641377226	1.7185016888672742	1.2753113545418118	0.8421097634406101	0.43312951758048557	0.12515582958053018
19003	H2O-17	404	2.1769179474998652	2.007510941885365	1.7799880454317272	1.439851957403754	1.1992119695755226	1.0573122874341983	0.9793799049690635
