tag,name,A_MHz,B_MHz,C_MHz,doc_url
003501,HD,,1339034.0,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e003501.cat
004501,H 2 D +,1302313.0,873595.0,497737.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e004501.cat
005501,HD 2 +,1085205.0,655725.0,391794.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e005501.cat
005502,HeH +,,1006063.6,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e005502.cat
012501,C,,,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e012501.cat
012502,BH,,354227.0,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e012502.cat
012503,C +,,,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e012503.cat
013501,13 C,,,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e013501.cat
013502,CH,,425476.4,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e013502.cat
013503,CH +,,417651.6,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e013503.cat
013504,"CH + , v = 1 – 0 band",,417651.6,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e013504.cat
013505,"CH + , v = 2 – 0 band",,417651.6,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e013505.cat
013506,13 C +,,,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e013506.cat
014501,CH 2,2211494.0,1.0,215102.2,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e014501.cat
014502,13 CH +,,415189.9,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e014502.cat
014503,CD +,,226785.2,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e014503.cat
014504,"13 CH + , v = 1 – 0 band",,415189.9,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e014504.cat
014505,"CD + , v = 1 – 0 band",,226785.2,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e014505.cat
014506,N +,,,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e014506.cat
015501,NH,,489959.1,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e015501.cat
015502,13 CD +,,226785.2,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e015502.cat
015503,14 CH +,,413087.4,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e015503.cat
015504,CT +,,162734.2,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e015504.cat
016501,NH 2,710302.02,1.0,245013.73,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e016501.cat
016502,ND,,263265.5,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e016502.cat
016503,CH 2 D +,280869.8,172992.7,105707.8,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e016503.cat
016504,O,,,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e016504.cat
016505,15 NH,,487799.1,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e016505.cat
017501,OH +,,492346.31,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e017501.cat
017502,OH –,,561669.2,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e017502.cat
017503,CH 3 D,1.0,116325.31,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e017503.cat
017504,15 NH 2,704388.4,1.0,244293.7,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e017504.cat
017505,CHD 2 +,217431.51,140618.07,84406.69,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e017505.cat
017506,"NH 3 , v = 0",10454.26,4041.15,2972.077,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e017506.cat
017507,"OH, v = 0",,555661.54,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e017507.cat
017508,"OH, v = 1",,534347.59,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e017508.cat
017509,"OH, v = 2",,513318.51,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e017509.cat
018501,NH 2 D,290077.0,192176.5,140808.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e018501.cat
018502,OD –,,299331.6,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e018502.cat
018503,15 NH 3,,297390.97,0.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e018503.cat
018504,13 CH 3 D,157415.6,116226.1,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e018504.cat
018505,H 2 O +,870581.0,1.0,253880.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e018505.cat
018506,OD +,,262835.0,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e018506.cat
018507,18 O,,,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e018507.cat
019501,NHD 2,223187.7,160215.0,112520.8,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e019501.cat
019502,18 OH –,,557996.0,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e019502.cat
