tag,name,A_MHz,B_MHz,C_MHz,doc_url
1001.0,H-atom,,,,
2001.0,D-atom,,,,
3001.0,HD,,1339100.0,,
4001.0,H2D+,1302323.7,873563.25,497767.19,
7001.0,Li-6-H,,226633.2,,
8001.0,LiH,,226633.2,,
8002.0,Li6D,,226633.2,,
9001.0,LiD,,125538.0,,
12001.0,C-atom,,,,
13001.0,C-13-atom,,,,
13002.0,CH,,425476.246,,
13003.0,CH+,,417616.89,,
14001.0,N-atom,,,,
14002.0,N-atom,,,,
14003.0,13CH,,422946.7,,
14004.0,CD,,230895.031,,
15001.0,NH,,489959.2,,
16001.0,O-atom,,,,
17001.0,OH,,556174.0,,
17002.0,NH$_3$,298192.92,298192.92,186695.86,
17003.0,CH3D,157412.0,116325.0,116325.0,
17004.0,NH$_3$,301896.22,301896.22,182523.04,
18001.0,OD,,556174.0,,
18002.0,N-15-H3,297390.8,297390.8,186711.0,
18003.0,H$_2$O,835840.3,435351.7,278138.7,
18004.0,NH2D,290125.0,192194.0,140795.0,
18005.0,H2O,835840.3,435351.7,278138.7,
18006.0,13CH3D,157412.0,116325.0,116325.0,
18007.0,17OH,,556174.0,,
19001.0,18OH,,556174.0,,
19002.0,HDO,701931.5,272912.6,192055.2,
19003.0,H2O-17,830283.294,435350.957,277511.176,
19004.0,H$_3$O$^+$,331411.77,331411.77,186836.77,
19005.0,H$_3$O$^+$,331411.77,331411.77,186836.77,
19006.0,17OD,,556174.0,,
20001.0,D2O,462278.8,218038.4,145258.0,
20002.0,HF,,616365.0,,
20003.0,H2O-18,825367.8,435354.05,276951.05,
20004.0,18OD,,556174.0,,
21001.0,HDO-18,692844.04,271457.501,190812.982,
21002.0,DF,,325584.862,,
25001.0,CCH,,43674.534,,
25002.0,NaH,,144952.4,,
26001.0,CN,,56693.47,,
26002.0,$^{12}$C$_2$H$_2$,,35274.9596,,
27001.0,HCN,,44315.975,,
27002.0,HNC,,45331.99,,
27003.0,HCN-v2,,44422.616,,
27004.0,C-13-N,,54343.14,,
28001.0,CO,,57635.968,,
28002.0,HC-13-N,,43170.137,,
28003.0,HCN-15,,43027.69,,
28004.0,DCN,,36207.46,,
28005.0,HNC-13,,43545.61,,
28006.0,HN-15-C,,44433.04,,
28007.0,DNC,,38152.998,,
28008.0,HCNH+,,37055.7526,,
28009.0,CO+,,58983.0,,
28010.0,$^{12}$C$_2$D$_2$,,25418.60758,,
29001.0,C-13-O,,55101.011,,
29002.0,HCO+,,44594.4,,
29003.0,CH2NH,196211.045,34532.395,29352.232,
29004.0,HCO,7829365.0,44788.0,41930.4,
29005.0,NNH+,,46586.867,,
29006.0,CO-17,,56179.99,,
29007.0,HOC+,,44743.9,,
30001.0,CO-18,,54891.42,,
30002.0,HC-13-O+,,43377.32,,
30003.0,DCO+,,36019.76,,
30004.0,H2CO,281970.58,38833.987,34004.244,
30005.0,C-13-H2NH,194195.217,33747.87,28707.05,
30006.0,CH2N-15-H,195738.07,33736.1,28688.61,
30007.0,CH2ND,157673.877,32069.366,26563.849,
30008.0,NO,,50849.06,,
30009.0,NND+,,38554.719,,
30010.0,HOC-13+,,42876.6,,
30011.0,NO+,,59597.1,,
30012.0,DOC+,,38193.2,,
31001.0,HCO-18+,,42581.21,,
31002.0,H2C-13-O,281993.04,37809.107,33215.941,
31003.0,HDCO,198111.99,34910.84,29561.07,
31004.0,HO-18-C+,,43306.0,,
31005.0,HNO,553898.9,42312.9,39165.1,
31006.0,Methoxy,513887.0,27930.123,27930.123,
31007.0,DC-13-O+,,43377.32,,
31008.0,CH3NH2,103155.74776,22608.31827,21730.42417,
31009.0,15-NO,3691865.8472,49050.841481,,
31010.0,CH$_3$CH$_2$D g.s and  $\nu_{18}$,69653.392,18859.082,18214.16,
32001.0,O2,,43100.44,,
32002.0,O2-v1,,42626.96,,
32003.0,CH3OH,127484.0,24679.98,23769.7,
32004.0,H2CO-18,281993.0,36903.6,32514.7,
32005.0,O2-snglt-dlta,,42504.52,,
32006.0,D$_2$CO,141653.54,32283.55,26185.31,
32006.0,D$_2$CO,141653.54,32283.55,26185.31,
32007.0,DNO,315497.2,38735.0,34350.7,
33001.0,HO2,610273.0,33514.0,31672.0,
33002.0,O-17-O,,41830.97,,
33003.0,SH,,283587.6,,
33004.0,CH2DOH,103551.3,23047.8,21686.5,
34001.0,O-18-O,,40707.4,,
34002.0,H2-32-S,310583.57,270367.68,141820.03,
34003.0,PH3,133480.22,133480.22,117488.39,
34004.0,H2O2,301878.0,26211.9,25099.14,
34005.0,SD,,146885.3,,
35001.0,HDS,292351.302,147861.801,96704.12,
36001.0,HCl,,312989.3,,
36002.0,18-O2,,38313.7,,
36003.0,HOF,585631.516,26760.413,25510.101,
36004.0,HCl$^+$,,293443.75,,
36005.0,HCl$^+$,,293443.75,,
37001.0,DCl,,163356.2555,,
37002.0,C3H,,11189.059,,
37003.0,c-C3H,44516.8,34016.3,19188.9,
37004.0,DCl$^+$,,293443.75,,
37005.0,DCl$^+$,,293443.75,,
38001.0,HCl-37,,312519.12,,
38002.0,c-C3H2,35092.6,32212.8,16749.1,
38003.0,C3D,,10097.38,,
38004.0,c-CCC-13-H,44539.8,32821.1,18801.8,
38005.0,c-C-13-CCH,42896.6,33514.7,18720.9,
38006.0,c-C3D,44517.2,27917.1,17080.7,
38007.0,H$^{37}$Cl$^+$,,293003.82,,
38008.0,H$^{37}$Cl$^+$,,293003.82,,
39001.0,c-HC-13-CCH,34857.2,31288.5,16443.0,
39002.0,c-HCC-13-CH,33310.5,32212.6,16331.3,
39003.0,c-C3HD,34517.5,26965.8,15098.5,
39004.0,DCl-37,,161183.122,,
39005.0,NaO,,12662.7531,,
39006.0,K-atom,,,,
40001.0,CH3CCH,158590.0,8545.86,8545.86,
40002.0,NaOH,,12567.059,,
40003.0,SiC,,20297.582,,
40004.0,SiC,,20297.582,,
40005.0,KH,,101152.1,,
40006.0,C2O,,11545.597,,
40007.0,"MgO, v = 0, 1",,17149.38,,
41001.0,CH3CN,158099.0,9198.9,9198.9,
41002.0,CH3CC-13-H,158590.0,8290.3,8290.3,
41003.0,CH3C-13-CH,158590.0,8542.3,8542.3,
41004.0,C-13-H3CCH,158590.0,8313.24,8313.24,
41005.0,CH3CCD,158590.0,7788.17,7788.17,
41006.0,CH2DCCH,117744.37,8155.784,8025.577,
41007.0,Si$^{13}$C,,19203.84,,
41008.0,CaH,,126772.9,,
41009.0,CH3NC,157151.0,10052.9,10052.9,
41010.0,CH3CN,158099.0,9198.9,9198.9,
41011.0,K41-atom,,,,
42001.0,CH3CN-15,158099.0,8922.0,8922.0,
42002.0,CH2CO,282473.0,10293.8,9916.38,
42003.0,NH2CN,312141.88,10129.758,9865.924,
42004.0,CaD,,625623.19,,
42005.0,K-41-H,,101141.3,,
42006.0,C-13-H3CN,158099.0,8933.3,8933.3,
42007.0,CH3C-13-N,158093.3,9194.35,9194.35,
42008.0,CH2DCN,121074.5,8759.2,8608.5,
